"pokemon","id","from","to","gen_id","evo_id","url_icon","url_image"
"cleffa",173,NA,"clefairy",2,14,"//archives.bulbagarden.net/media/upload/9/9c/173MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/173.png"
"igglybuff",174,NA,"jigglypuff",2,16,"//archives.bulbagarden.net/media/upload/5/59/174MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/174.png"
"bellossom",182,"gloom",NA,2,18,"//archives.bulbagarden.net/media/upload/7/75/182MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/182.png"
"politoed",186,"poliwhirl",NA,2,26,"//archives.bulbagarden.net/media/upload/8/8c/186MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/186.png"
"espeon",196,"eevee",NA,2,67,"//archives.bulbagarden.net/media/upload/6/65/196MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/196.png"
"umbreon",197,"eevee",NA,2,67,"//archives.bulbagarden.net/media/upload/c/cf/197MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/197.png"
"slowking",199,"slowpoke",NA,2,33,"//archives.bulbagarden.net/media/upload/b/bb/199MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/199.png"
"steelix",208,"onix",NA,2,41,"//archives.bulbagarden.net/media/upload/b/b5/208MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/208.png"
"scizor",212,"scyther",NA,2,58,"//archives.bulbagarden.net/media/upload/9/9b/212MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/212.png"
"kingdra",230,"seadra",NA,2,54,"//archives.bulbagarden.net/media/upload/0/05/230MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/230.png"
"porygon2",233,"porygon","porygon-z",2,68,"//archives.bulbagarden.net/media/upload/c/ce/233MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/233.png"
"tyrogue",236,NA,"hitmonlee",2,47,"//archives.bulbagarden.net/media/upload/c/c0/236MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/236.png"
"tyrogue",236,NA,"hitmonchan",2,47,"//archives.bulbagarden.net/media/upload/c/c0/236MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/236.png"
"tyrogue",236,NA,"hitmontop",2,47,"//archives.bulbagarden.net/media/upload/c/c0/236MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/236.png"
"hitmontop",237,"tyrogue",NA,2,47,"//archives.bulbagarden.net/media/upload/3/3e/237MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/237.png"
"smoochum",238,NA,"jynx",2,59,"//archives.bulbagarden.net/media/upload/6/6d/238MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/238.png"
"elekid",239,NA,"electabuzz",2,60,"//archives.bulbagarden.net/media/upload/a/ad/239MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/239.png"
"magby",240,NA,"magmar",2,61,"//archives.bulbagarden.net/media/upload/9/99/240MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/240.png"
"blissey",242,"chansey",NA,2,51,"//archives.bulbagarden.net/media/upload/d/d8/242MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/242.png"
"mime-jr",439,NA,"mr-mime",4,57,"//archives.bulbagarden.net/media/upload/2/29/439MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/439.png"
"happiny",440,NA,"chansey",4,51,"//archives.bulbagarden.net/media/upload/9/92/440MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/440.png"
"munchlax",446,NA,"snorlax",4,72,"//archives.bulbagarden.net/media/upload/d/d7/446MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/446.png"
"magnezone",462,"magneton",NA,4,34,"//archives.bulbagarden.net/media/upload/9/9c/462MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/462.png"
"lickilicky",463,"lickitung",NA,4,48,"//archives.bulbagarden.net/media/upload/7/76/463MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/463.png"
"rhyperior",464,"rhydon",NA,4,50,"//archives.bulbagarden.net/media/upload/7/79/464MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/464.png"
"tangrowth",465,"tangela",NA,4,52,"//archives.bulbagarden.net/media/upload/c/c1/465MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/465.png"
"electivire",466,"electabuzz",NA,4,60,"//archives.bulbagarden.net/media/upload/2/2a/466MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/466.png"
"magmortar",467,"magmar",NA,4,61,"//archives.bulbagarden.net/media/upload/f/f2/467MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/467.png"
"leafeon",470,"eevee",NA,4,67,"//archives.bulbagarden.net/media/upload/7/77/470MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/470.png"
"glaceon",471,"eevee",NA,4,67,"//archives.bulbagarden.net/media/upload/3/30/471MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/471.png"
"porygon-z",474,"porygon2",NA,4,68,"//archives.bulbagarden.net/media/upload/2/28/474MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/474.png"
"sylveon",700,"eevee",NA,6,67,"//archives.bulbagarden.net/media/upload/a/a3/700MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/700.png"
"perrserker",NA,"meowth",NA,NA,22,NA,NA
"annihilape",NA,"primeape",NA,NA,24,NA,NA
"sirfetchd",NA,"farfetchd",NA,NA,35,NA,NA
"mr-rime",NA,"mr-mime",NA,NA,57,NA,NA
"kleavor",NA,"scyther",NA,NA,58,NA,NA
